               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
102;0.011476;0.004072;0;0.99705;0.98582;0.99479;0.89763;0.0066092;0.0019184;0;0.0054776;0.0054776;0.0054776
103;0.011245;0.0039566;0;0.986;0.99895;0.99443;0.88203;0.0072821;0.0017371;0;0.0054328;0.0054328;0.0054328
104;0.010468;0.0040195;0;0.97874;1;0.99443;0.89516;0.007298;0.001895;0;0.0053881;0.0053881;0.0053881
105;0.011108;0.00422;0;0.98487;1;0.99486;0.8931;0.0067991;0.0019988;0;0.0053433;0.0053433;0.0053433
106;0.010967;0.0040629;0;0.99918;0.98582;0.99452;0.89659;0.0074976;0.0022225;0;0.0052985;0.0052985;0.0052985
107;0.011483;0.0042732;0;0.99145;0.99291;0.99486;0.90151;0.0071336;0.0021849;0;0.0052537;0.0052537;0.0052537
108;0.010565;0.0041416;0;0.99295;0.99866;0.99451;0.89051;0.0065887;0.0018532;0;0.005209;0.005209;0.005209
109;0.010142;0.0038076;0;0.98591;0.99223;0.99105;0.89285;0.0071266;0.001742;0;0.0051642;0.0051642;0.0051642
110;0.010554;0.0037204;0;0.98599;0.99862;0.99393;0.89283;0.006964;0.001841;0;0.0051194;0.0051194;0.0051194
111;0.0099845;0.0038458;0;0.99098;0.99291;0.99309;0.88803;0.0064489;0.0018419;0;0.0050746;0.0050746;0.0050746
112;0.010281;0.0042888;0;0.9929;0.99139;0.99436;0.89058;0.0063956;0.0020755;0;0.0050299;0.0050299;0.0050299
113;0.010312;0.0038196;0;0.99552;0.99291;0.995;0.90762;0.0064002;0.0018372;0;0.0049851;0.0049851;0.0049851
114;0.0099041;0.0037694;0;0.98543;1;0.99472;0.90662;0.0063927;0.0017373;0;0.0049403;0.0049403;0.0049403
115;0.010724;0.0038173;0;0.99014;1;0.99451;0.9007;0.0065776;0.0017411;0;0.0048955;0.0048955;0.0048955
116;0.010237;0.0037885;0;0.9919;1;0.99366;0.90198;0.0065654;0.0017768;0;0.0048507;0.0048507;0.0048507
